"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The test checks for the disabled attribute","7987","A test to check the field for ""Read-only""","","Fri Mar 28 19:15:08 UTC 2025","passed","Fri Mar 28 19:15:16 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","readonly"
"The Hint field type is always read-only","8183","A test to check the field for ""Read-only""","","Fri Mar 28 19:19:38 UTC 2025","passed","Fri Mar 28 19:19:46 UTC 2025","","Form. Checking the basic functions for the Hint in the widget Form","application.Samples.Form.HintOnFormTest","readonly"
"Checking the url before the transition and after the transition/click on a special element","10677","The DrillDown test","","Fri Mar 28 19:12:10 UTC 2025","passed","Fri Mar 28 19:12:20 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","drillDown"
"Filtering is not available for the Form widget","8463","Filtering test","","Fri Mar 28 19:32:30 UTC 2025","passed","Fri Mar 28 19:32:38 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"The test clears the field and clicks the Save button. Then validates the message that the field is required","9983","Required Message text Verification field test","","Fri Mar 28 19:02:46 UTC 2025","passed","Fri Mar 28 19:02:56 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","required"
"Filtering is not available for InfoWidget.","10192","Filtering test","","Fri Mar 28 19:49:37 UTC 2025","passed","Fri Mar 28 19:49:47 UTC 2025","","Info. Checking the basic functions for the Percent","application.Samples.Info.PercentOnInfoTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9360","A test to get the field color value in Hex format","","Fri Mar 28 19:43:25 UTC 2025","passed","Fri Mar 28 19:43:34 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","color"
"The test checks the list of options that the method returns, with the expected result","10160","Test to get a list of options","","Fri Mar 28 19:53:48 UTC 2025","passed","Fri Mar 28 19:53:58 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","getListOptions"
"Sorting is not available for the Form widget","9020","Sorting test","","Fri Mar 28 19:02:00 UTC 2025","passed","Fri Mar 28 19:02:09 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","sorting"
"Filtering is not available for InfoWidget.","7777","Filtering test","","Fri Mar 28 19:35:22 UTC 2025","passed","Fri Mar 28 19:35:30 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","filtration"
"","9520","A test to compare the source file with the downloaded one","","Fri Mar 28 19:41:23 UTC 2025","passed","Fri Mar 28 19:41:32 UTC 2025","","Info. Checking the basic functions for the FileUp","application.Samples.Info.FileUploadOnInfoTest","compare"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","13018","Confirmation Popup Validation Test","","Fri Mar 28 19:00:44 UTC 2025","passed","Fri Mar 28 19:00:57 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","confirm"
"The test adds a value after removing all previous values.","11021","Value setting test with field clearing","","Fri Mar 28 19:29:10 UTC 2025","passed","Fri Mar 28 19:29:21 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","setValue"
"InfoWidget does not have a Hex field color for this type.","9957","A test to get the field color value in Hex format","","Fri Mar 28 19:48:56 UTC 2025","passed","Fri Mar 28 19:49:06 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","color"
