"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for InfoWidget.","19590","Filtering test","","Wed Apr 02 14:41:27 UTC 2025","passed","Wed Apr 02 14:41:47 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","20842","Business Exception Validation Test","","Wed Apr 02 14:30:37 UTC 2025","passed","Wed Apr 02 14:30:58 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","businessException"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","21702","Required Message validation test for one field","","Wed Apr 02 14:33:21 UTC 2025","passed","Wed Apr 02 14:33:42 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","fieldLevelValidationAnnotation"
"The test checks for the disabled attribute","15674","A test to check the field for ""Read-only""","","Wed Apr 02 14:22:39 UTC 2025","passed","Wed Apr 02 14:22:55 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","readonly"
"The test verifies that after clearing the field, it is empty","23361","The test for deleting a file from a field","","Wed Apr 02 14:29:11 UTC 2025","passed","Wed Apr 02 14:29:34 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","clear"
"The test checks for the disabled attribute","22101","A test to check the field for ""Read-only""","","Wed Apr 02 14:32:06 UTC 2025","passed","Wed Apr 02 14:32:28 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","readonly"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","24379","Required Message validation test for one field","","Wed Apr 02 14:22:15 UTC 2025","passed","Wed Apr 02 14:22:39 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotationAlternative"
"The test sets the value in the field, and then checks the value in the field with what should be set","21024","A test for setting a value in a field","","Wed Apr 02 14:25:10 UTC 2025","passed","Wed Apr 02 14:25:31 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","edit"
"Info Widget is always read-only","23495","A test to check the field for ""Read-only""","","Wed Apr 02 14:37:47 UTC 2025","passed","Wed Apr 02 14:38:10 UTC 2025","","Info. Checking the basic functions for the Radio","application.Samples.Info.RadioOnInfoTest","readonly"
"The test gets the value from the placeholder attribute and returns it in String format","16164","Test for getting the Placeholder value","","Wed Apr 02 14:24:42 UTC 2025","passed","Wed Apr 02 14:24:58 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","placeholder"
"Filtering is not available for the Form widget","15756","Filtering test","","Wed Apr 02 14:32:49 UTC 2025","passed","Wed Apr 02 14:33:05 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","filtration"
"Filtering is not available for InfoWidget.","15344","Filtering test","","Wed Apr 02 14:41:09 UTC 2025","passed","Wed Apr 02 14:41:24 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","filtration"
"The test sets the value in the field via Popup using the name, and then checks the value in the field with what should be set","26280","A test for setting a value in a field","","Wed Apr 02 14:29:23 UTC 2025","passed","Wed Apr 02 14:29:50 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","edit_2"
"Filtering is not available for InfoWidget.","28584","Filtering test","","Wed Apr 02 14:46:07 UTC 2025","passed","Wed Apr 02 14:46:35 UTC 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","filtration"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","21144","Required Message validation test for multiple fields","","Wed Apr 02 14:25:18 UTC 2025","passed","Wed Apr 02 14:25:39 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidation"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","19059","A test to get the field color value in Hex format","","Wed Apr 02 14:20:00 UTC 2025","passed","Wed Apr 02 14:20:20 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","color"
"","18232","The test for getting the value from the field","","Wed Apr 02 14:36:51 UTC 2025","passed","Wed Apr 02 14:37:09 UTC 2025","","Info. Checking the basic functions for the Hint","application.Samples.Info.HintOnInfoTest","read"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","23408","Business Exception Validation Test","","Wed Apr 02 14:24:47 UTC 2025","passed","Wed Apr 02 14:25:10 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","businessException"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","21639","Confirmation Popup Validation Test","","Wed Apr 02 14:34:34 UTC 2025","passed","Wed Apr 02 14:34:56 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","confirm"
"","23242","The test for getting the value from the field","","Wed Apr 02 14:46:35 UTC 2025","passed","Wed Apr 02 14:46:59 UTC 2025","","Info. Checking the basic functions for the MultiField","application.Samples.Info.MultiFieldOnInfoTest","read"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","21168","A test to get the field color value in Hex format","","Wed Apr 02 14:27:04 UTC 2025","passed","Wed Apr 02 14:27:25 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","color"
"Filtering is not available for InfoWidget.","12297","Filtering test","","Wed Apr 02 14:47:06 UTC 2025","passed","Wed Apr 02 14:47:19 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","filtration"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","16139","Business Exception Validation Test","","Wed Apr 02 14:25:36 UTC 2025","passed","Wed Apr 02 14:25:52 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","businessException"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","25052","Required Message validation test for one field","","Wed Apr 02 14:18:54 UTC 2025","passed","Wed Apr 02 14:19:19 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","fieldLevelValidationAnnotation"
"The test checks for the disabled attribute","16104","A test to check the field for ""Read-only""","","Wed Apr 02 14:33:05 UTC 2025","passed","Wed Apr 02 14:33:21 UTC 2025","","Form. Checking the basic functions for the Number in the widget Form","application.Samples.Form.NumberOnFormTest","readonly"
"The test adds a value after removing all previous values.","22249","Value setting test with field clearing","","Wed Apr 02 14:38:08 UTC 2025","passed","Wed Apr 02 14:38:30 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","setValue"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","16036","A test to get the field color value in Hex format","","Wed Apr 02 14:41:54 UTC 2025","passed","Wed Apr 02 14:42:10 UTC 2025","","Info. Checking the basic functions for the DateTime","application.Samples.Info.DateTimeOnInfoTest","color"
"The test checks the list of options that the method returns, with the expected result","24229","Test to get a list of options","","Wed Apr 02 14:38:30 UTC 2025","passed","Wed Apr 02 14:38:55 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","getListOptions"
"DrillDown is not available for InfoWidget.","23300","The DrillDown test","","Wed Apr 02 14:37:42 UTC 2025","passed","Wed Apr 02 14:38:06 UTC 2025","","Info. Checking the basic functions for the PickList","application.Samples.Info.PickListOnInfoTest","drillDown"
